ticker,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,5.4306,5.5263,6.4162,5.5674,6.0669,DOWN,0
2000-01-04,5.3622,5.4032,6.4137,5.4935,6.0478,UP,1
2000-01-05,5.4169,5.4032,6.4126,5.4497,6.03,DOWN,0
2000-01-06,5.4169,5.4306,6.4115,5.4251,6.0103,UP,1
2000-01-07,5.6221,5.4442,6.4111,5.4497,5.9931,DOWN,0
2000-01-10,5.6084,5.6084,6.4114,5.4853,5.9761,DOWN,0
2000-01-11,5.54,5.5947,6.4114,5.5208,5.9591,UP,1
2000-01-12,5.6768,5.581,6.4119,5.5728,5.9455,UP,1
2000-01-13,5.7999,5.6768,6.4138,5.6494,5.9356,DOWN,0
2000-01-14,5.7452,5.7862,6.415,5.674,5.9249,DOWN,0
2000-01-18,5.6494,5.6905,6.4153,5.6823,5.911,UP,1
2000-01-19,5.7178,5.6905,6.4153,5.7178,5.9003,UP,1
2000-01-20,5.7589,5.7452,6.4159,5.7342,5.8864,UP,1
2000-01-21,6.0324,5.7589,6.4176,5.7807,5.8795,DOWN,0
2000-01-24,6.0324,6.0324,6.4178,5.8382,5.8732,DOWN,0
2000-01-25,5.923,6.0324,6.4181,5.8929,5.8642,DOWN,0
2000-01-26,5.9093,5.9777,6.4185,5.9312,5.856,DOWN,0
2000-01-27,5.7041,5.8409,6.4179,5.9203,5.8412,DOWN,0
2000-01-28,5.7041,5.7041,6.4174,5.8546,5.8248,UP,1
2000-01-31,5.7178,5.7178,6.4165,5.7917,5.8103,UP,1
2000-02-01,5.7452,5.6905,6.4154,5.7561,5.7975,UP,1
2000-02-02,5.7999,5.7999,6.4142,5.7342,5.7884,DOWN,0
2000-02-03,5.7999,5.7725,6.4124,5.7534,5.7843,DOWN,0
2000-02-04,5.6494,5.7999,6.4096,5.7424,5.7802,DOWN,0
2000-02-07,5.5263,5.6494,6.4068,5.7041,5.7714,DOWN,0
